City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Jishou,100,CN,1584331693,73,28.32,109.72,53.94,2.89
Gigmoto,100,PH,1584331694,77,13.78,124.39,80.01,15.35
Rosita,0,NI,1584331694,98,13.93,-84.4,68.74,2.04
Pemberton,0,CA,1584331694,82,50.32,-122.8,15.13,3.56
Carangola,11,BR,1584331456,98,-20.73,-42.03,62.29,4.0
Kandrian,100,PG,1584331694,55,-6.22,149.55,88.59,8.25
Gamba,100,GA,1584331694,90,-2.65,10.0,77.72,0.54
Abadan,75,TM,1584331695,76,38.05,58.21,55.4,2.24
Palāsa,0,IN,1584331695,55,18.77,84.42,81.81,3.13
Dire Dawa,100,ET,1584331695,89,9.59,41.87,61.18,1.61
Mapastepec,2,MX,1584331710,87,15.43,-92.9,74.73,2.37
Dromolaxia,40,CY,1584331710,93,34.88,33.59,57.2,4.7
Yumen,68,CN,1584331255,18,40.28,97.2,44.08,1.14
Barcelos,20,PT,1584331663,100,41.54,-8.62,41.0,1.12
Ossora,100,RU,1584331166,97,59.24,163.07,31.73,26.22
Luwuk,54,ID,1584331711,74,-0.95,122.79,82.49,5.12
Katobu,12,ID,1584331711,57,-4.94,122.53,90.79,2.21
Changqing,100,CN,1584331711,29,36.56,116.73,61.0,3.0
Rāyagada,3,IN,1584331711,67,19.17,83.42,79.74,3.02
Padang,25,ID,1584331712,56,-0.95,100.35,84.29,1.95
Logansport,1,US,1584331712,86,40.75,-86.36,36.0,8.01
San Juan del Sur,3,NI,1584331712,76,11.25,-85.87,80.67,24.83
Benidorm,40,ES,1584331420,100,38.54,-0.13,57.99,1.12
Ascension,1,US,1584331712,72,30.22,-90.9,71.6,3.36
Pavlogradka,14,RU,1584331712,91,54.2,73.56,27.52,11.16
Fomboni,49,KM,1584331712,74,-12.28,43.74,83.52,12.53
Aktobe,75,KZ,1584331712,100,50.28,57.21,28.4,4.47
Oriximiná,98,BR,1584331713,91,-1.77,-55.87,72.9,5.32
Mezen',100,RU,1584331713,94,65.85,44.24,22.12,16.78
Chemal,100,RU,1584331713,59,51.41,86.0,34.99,10.07
São Gabriel da Cachoeira,100,BR,1584331713,92,-0.13,-67.09,75.97,2.19
Broome,1,US,1584331231,45,42.25,-75.83,27.0,9.17
Auki,100,SB,1584331713,74,-8.77,160.7,84.18,13.15
Mayo,1,US,1584331714,93,38.89,-76.51,44.6,2.28
Bull Savanna,0,JM,1584331714,83,17.89,-77.59,65.79,5.35
Russell,40,US,1584331252,88,32.35,-85.2,71.6,6.93
Tautira,40,PF,1584331714,66,-17.73,-149.15,86.0,12.75
Iguape,0,BR,1584331656,98,-24.71,-47.56,71.62,1.97
Portland,75,US,1584331682,44,45.52,-122.68,41.0,24.16
Abnūb,0,EG,1584331714,77,27.27,31.15,59.0,6.93
Yatou,17,CN,1584331715,46,37.15,122.38,38.68,11.05
Leer,71,SS,1584331715,21,8.3,30.14,76.39,3.27
Kruisfontein,100,ZA,1584331230,88,-34.0,24.73,60.33,10.02
Vestmanna,100,FO,1584331715,74,62.16,-7.17,33.8,16.11
Puerto Nariño,33,CO,1584331715,100,-3.77,-70.38,78.8,2.24
La Bélgica,75,BO,1584331715,83,-17.55,-63.22,78.8,3.36
Quelimane,75,MZ,1584331715,94,-17.88,36.89,77.0,5.82
Faya,16,SA,1584331715,93,18.39,42.45,55.4,3.53
Zlobin,0,HR,1584331716,55,45.29,14.65,32.0,5.68
Huanan,54,CN,1584331716,72,46.22,130.52,24.87,16.44
Kiryat Gat,37,IL,1584331716,82,31.61,34.76,57.2,3.36
Dunmore East,0,IE,1584331716,87,52.15,-6.99,36.0,5.55
Hokitika,0,NZ,1584331716,74,-42.72,170.97,61.57,14.85
San Quintín,0,MX,1584331717,77,30.48,-115.95,59.22,12.15
Winnemucca,90,US,1584331257,80,40.97,-117.74,41.0,6.93
Port Lincoln,57,AU,1584331717,41,-34.73,135.87,74.35,16.67
Uglovoye,0,UA,1584331717,44,44.82,33.6,35.8,10.98
Monroe,1,US,1584331567,79,43.15,-77.68,26.6,2.91
Umeå,32,SE,1584331732,64,63.83,20.26,33.8,18.34
São Paulo de Olivença,100,BR,1584331732,81,-3.38,-68.87,77.31,2.53
Ucluelet,0,CA,1584331704,76,48.93,-125.55,37.0,2.13
Yeppoon,20,AU,1584331733,45,-23.13,150.73,84.2,10.29
Tomigusuku,0,JP,1584331733,40,26.18,127.67,69.01,16.11
Bathsheba,40,BB,1584331733,78,13.22,-59.52,77.0,8.05
Husavik,90,IS,1584331733,86,66.04,-17.34,30.2,14.99
Maltahöhe,0,NA,1584331733,25,-24.83,16.98,70.48,11.79
Saint-Augustin,99,CA,1584330919,78,51.23,-58.65,8.87,13.15
São Francisco do Sul,0,BR,1584331663,81,-26.24,-48.64,75.0,1.16
Yangambi,67,CD,1584331190,97,0.81,24.43,69.8,1.3
Ambilobe,100,MG,1584331734,90,-13.2,49.05,77.67,3.62
Kouqian,0,CN,1584331734,65,43.64,126.46,26.91,7.61
Whitehorse,40,CA,1584331104,34,60.72,-135.05,33.8,2.24
Bobrovytsya,0,UA,1584331734,73,50.75,31.38,23.0,4.47
San Antonio,90,US,1584331517,93,29.42,-98.49,68.0,5.82
Kawalu,31,ID,1584331735,62,-7.38,108.21,82.85,5.19
Bereda,20,ES,1584331735,76,43.27,-7.54,48.99,9.17
Coari,62,BR,1584331735,89,-4.08,-63.14,74.21,2.24
Vanderhoof,1,CA,1584331690,84,54.02,-124.02,16.74,3.74
Solnechnyy,65,RU,1584331735,88,50.72,136.63,16.5,5.48
Binucayan,42,PH,1584331735,49,8.25,125.72,83.43,6.98
Bjørnevatn,100,NO,1584331736,67,69.67,29.98,21.2,8.05
Beloha,51,MG,1584331736,97,-25.17,45.05,70.34,8.3
Vardø,75,NO,1584331736,73,70.37,31.11,19.4,10.29
Hofn,100,IS,1584331736,67,64.25,-15.21,41.2,34.27
La Rioja,90,ES,1584331737,93,42.25,-2.5,42.8,12.75
Ayan,0,RU,1584331737,76,56.45,138.17,8.1,4.68
Olinda,75,BR,1584331737,100,-8.01,-34.86,75.2,4.7
Amuntai,32,ID,1584331737,64,-2.42,115.25,86.88,4.9
Coos Bay,75,US,1584331561,75,43.37,-124.22,43.0,2.86
Ixtapa,5,MX,1584331738,83,20.7,-105.2,73.4,2.06
Nazareno,40,MX,1584331738,37,25.38,-103.42,82.4,11.41
Henties Bay,0,NA,1584331738,94,-22.12,14.28,61.0,3.0
Rivadavia,0,AR,1584331738,52,-33.19,-68.46,66.2,5.79
Esmeraldas,1,BR,1584331738,73,-19.76,-44.31,69.8,2.24
Nantucket,1,US,1584331186,80,41.28,-70.1,35.01,6.93
Halifax,90,CA,1584331504,68,44.65,-63.57,28.99,3.36
Ormara,67,PK,1584331739,63,25.21,64.64,73.06,4.23
Pavlovka,100,RU,1584331739,86,52.69,47.14,28.36,10.45
Jobner,40,IN,1584331739,49,26.97,75.38,68.0,5.82
Canas,51,CR,1584331739,58,10.43,-85.09,82.4,18.34
Semey,100,KZ,1584331629,74,50.41,80.23,37.4,6.71
Anadyr,100,RU,1584331233,85,64.75,177.48,23.0,13.42
Trelew,30,AR,1584331716,49,-43.25,-65.31,62.8,14.79
Kokopo,99,PG,1584331755,73,-4.35,152.26,84.45,13.49
Preobrazheniye,100,RU,1584331755,44,42.9,133.91,31.87,6.67
Hoi An,40,VN,1584331755,69,15.88,108.33,82.4,5.82
Yenagoa,99,NG,1584331755,89,4.92,6.26,79.56,3.36
Bandarbeyla,100,SO,1584331755,71,9.49,50.81,79.02,6.4
Geilo,19,NO,1584331755,96,60.53,8.21,18.77,4.61
Lagoa,0,PT,1584331755,75,39.05,-27.98,60.76,14.0
Launceston,75,AU,1584331756,45,-41.45,147.17,69.01,8.05
Haines Junction,7,CA,1584331756,92,60.75,-137.51,17.78,0.76
Shangrao,68,CN,1584331756,58,28.45,117.97,63.16,8.21
Pergamino,0,AR,1584331756,87,-33.89,-60.57,61.0,4.5
Kununurra,41,AU,1584331756,32,-15.77,128.73,96.8,8.05
Sharjah city,0,AE,1584331756,60,25.36,55.4,73.4,6.93
Palmer,1,US,1584331757,33,42.16,-72.33,35.01,11.41
Sisimiut,94,GL,1584331757,95,66.94,-53.67,-11.81,6.73
Victor Harbor,99,AU,1584331757,21,-35.57,138.62,80.6,14.99
Wahiawā,90,US,1584331757,83,21.5,-158.02,78.8,4.7
Souillac,75,MU,1584331211,94,-20.52,57.52,78.01,2.24
Champerico,23,GT,1584331757,78,14.3,-91.92,78.35,4.47
Vao,10,NC,1584331757,72,-22.67,167.48,81.21,28.14
Catherinas Lust,100,GY,1584331758,79,6.4,-57.6,80.01,15.61
Grande Rivière Noire,75,MU,1584331758,94,-20.36,57.37,78.01,2.24
Brackenheim,55,DE,1584331758,80,49.08,9.06,42.01,1.12
Muisne,6,EC,1584331758,87,0.6,-80.03,75.87,2.28
Aleksandrov Gay,85,RU,1584331759,46,50.15,48.57,29.37,15.3
Manado,40,ID,1584331759,66,1.49,124.85,86.0,10.29
Yumbe,75,UG,1584331759,86,3.47,31.25,71.51,3.85
Mareeba,57,AU,1584331759,46,-17.0,145.43,89.6,10.29
Krasnoarmiys'k,0,UA,1584331759,59,48.28,37.18,28.38,8.3
Calatayud,20,ES,1584331759,93,41.35,-1.64,51.8,3.36
Chornukhy,0,UA,1584331759,54,50.27,32.94,28.17,8.79
Kimbe,100,PG,1584331759,63,-5.55,150.14,86.05,5.32
Sturgeon Bay,1,US,1584331760,85,44.83,-87.38,26.6,3.91
Athabasca,5,CA,1584331760,90,54.72,-113.29,7.12,5.88
Verkhnyaya Inta,100,RU,1584331760,69,65.98,60.31,13.69,15.43
Brae,5,GB,1584331170,53,60.4,-1.35,39.2,1.12
Nara,75,JP,1584331233,65,34.69,135.8,52.0,16.11
Sabzawār,100,IR,1584331760,67,36.21,57.68,55.17,12.12
Jacareacanga,100,BR,1584331760,97,-6.22,-57.75,69.94,1.72
Chute-aux-Outardes,1,CA,1584331761,51,49.12,-68.4,15.8,8.05
Durban,90,ZA,1584331163,94,-29.86,31.03,69.8,12.75
Kirakira,100,SB,1584331761,75,-10.45,161.92,82.31,6.67
Nizhniy Kuranakh,100,RU,1584331776,94,58.84,125.49,25.12,5.59
Dustlik,97,UZ,1584331776,26,40.52,68.04,63.43,5.48
Nouadhibou,0,MR,1584331776,82,20.93,-17.03,60.8,18.34
Derzhavīnsk,88,KZ,1584331776,91,51.1,66.32,27.7,9.06
Ouésso,100,CG,1584331777,71,1.61,16.05,74.03,0.94
Barillas,7,GT,1584331777,86,15.8,-91.32,57.81,7.63
Harindānga,49,IN,1584331777,69,22.04,88.32,77.0,6.93
San Ramon,90,US,1584331724,93,37.78,-121.98,50.0,5.77
Mosquera,75,CO,1584331655,93,4.71,-74.23,55.4,5.82
Acheng,0,CN,1584331777,50,45.55,126.98,28.4,15.66
Lamu,69,KE,1584331777,79,-2.27,40.9,83.32,11.12
Eyl,91,SO,1584331777,79,7.98,49.82,79.68,12.48
Ust-Kuyga,87,RU,1584331778,80,70.02,135.6,-7.04,13.53
Kupang,40,ID,1584331778,70,-10.17,123.58,89.6,5.82
Colesberg,0,ZA,1584331778,76,-30.72,25.1,58.48,16.89
Copiapó,0,CL,1584331742,82,-27.37,-70.33,62.6,6.93
Bariloche,0,AR,1584331612,66,-41.15,-71.31,48.2,4.7
